prompt_version,window_id,true_label,predicted_label,correct
v1_context_free,walking_009,walking,,
v1_context_free,sitting_021,sitting,,
v1_context_free,running_021,running,,
v1_context_free,walking_001,walking,,
v1_context_free,sitting_001,sitting,,
v1_context_free,walking_004,walking,,
v1_context_free,running_009,running,,
v1_context_free,sitting_008,sitting,,
v1_context_free,sitting_009,sitting,,
v1_context_free,sitting_004,sitting,,
v1_context_free,running_001,running,,
v1_context_free,walking_008,walking,,
v1_context_free,walking_021,walking,,
v1_context_free,running_008,running,,
v1_context_free,running_004,running,,
v2_context_inclusive,walking_009,walking,,
v2_context_inclusive,sitting_021,sitting,,
v2_context_inclusive,running_021,running,,
v2_context_inclusive,walking_001,walking,,
v2_context_inclusive,sitting_001,sitting,,
v2_context_inclusive,walking_004,walking,,
v2_context_inclusive,running_009,running,,
v2_context_inclusive,sitting_008,sitting,,
v2_context_inclusive,sitting_009,sitting,,
v2_context_inclusive,sitting_004,sitting,,
v2_context_inclusive,running_001,running,,
v2_context_inclusive,walking_008,walking,,
v2_context_inclusive,walking_021,walking,,
v2_context_inclusive,running_008,running,,
v2_context_inclusive,running_004,running,,
v3_expert_knowledge,walking_009,walking,,
v3_expert_knowledge,sitting_021,sitting,,
v3_expert_knowledge,running_021,running,,
v3_expert_knowledge,walking_001,walking,,
v3_expert_knowledge,sitting_001,sitting,,
v3_expert_knowledge,walking_004,walking,,
v3_expert_knowledge,running_009,running,,
v3_expert_knowledge,sitting_008,sitting,,
v3_expert_knowledge,sitting_009,sitting,,
v3_expert_knowledge,sitting_004,sitting,,
v3_expert_knowledge,running_001,running,,
v3_expert_knowledge,walking_008,walking,,
v3_expert_knowledge,walking_021,walking,,
v3_expert_knowledge,running_008,running,,
v3_expert_knowledge,running_004,running,,
v3_1shot,walking_009,walking,,
v3_1shot,sitting_021,sitting,,
v3_1shot,running_021,running,,
v3_1shot,walking_001,walking,,
v3_1shot,sitting_001,sitting,,
v3_1shot,walking_004,walking,,
v3_1shot,running_009,running,,
v3_1shot,sitting_008,sitting,,
v3_1shot,sitting_009,sitting,,
v3_1shot,sitting_004,sitting,,
v3_1shot,running_001,running,,
v3_1shot,walking_008,walking,,
v3_1shot,walking_021,walking,,
v3_1shot,running_008,running,,
v3_1shot,running_004,running,,
v3_3shot,walking_009,walking,,
v3_3shot,sitting_021,sitting,,
v3_3shot,running_021,running,,
v3_3shot,walking_001,walking,,
v3_3shot,sitting_001,sitting,,
v3_3shot,walking_004,walking,,
v3_3shot,running_009,running,,
v3_3shot,sitting_008,sitting,,
v3_3shot,sitting_009,sitting,,
v3_3shot,sitting_004,sitting,,
v3_3shot,running_001,running,,
v3_3shot,walking_008,walking,,
v3_3shot,walking_021,walking,,
v3_3shot,running_008,running,,
v3_3shot,running_004,running,,
v3_5shot,walking_009,walking,,
v3_5shot,sitting_021,sitting,,
v3_5shot,running_021,running,,
v3_5shot,walking_001,walking,,
v3_5shot,sitting_001,sitting,,
v3_5shot,walking_004,walking,,
v3_5shot,running_009,running,,
v3_5shot,sitting_008,sitting,,
v3_5shot,sitting_009,sitting,,
v3_5shot,sitting_004,sitting,,
v3_5shot,running_001,running,,
v3_5shot,walking_008,walking,,
v3_5shot,walking_021,walking,,
v3_5shot,running_008,running,,
v3_5shot,running_004,running,,
v4_stats_reasoning,walking_009,walking,,
v4_stats_reasoning,sitting_021,sitting,,
v4_stats_reasoning,running_021,running,,
v4_stats_reasoning,walking_001,walking,,
v4_stats_reasoning,sitting_001,sitting,,
v4_stats_reasoning,walking_004,walking,,
v4_stats_reasoning,running_009,running,,
v4_stats_reasoning,sitting_008,sitting,,
v4_stats_reasoning,sitting_009,sitting,,
v4_stats_reasoning,sitting_004,sitting,,
v4_stats_reasoning,running_001,running,,
v4_stats_reasoning,walking_008,walking,,
v4_stats_reasoning,walking_021,walking,,
v4_stats_reasoning,running_008,running,,
v4_stats_reasoning,running_004,running,,
v5_zero_shot,walking_009,walking,,
v5_zero_shot,sitting_021,sitting,,
v5_zero_shot,running_021,running,,
v5_zero_shot,walking_001,walking,,
v5_zero_shot,sitting_001,sitting,,
v5_zero_shot,walking_004,walking,,
v5_zero_shot,running_009,running,,
v5_zero_shot,sitting_008,sitting,,
v5_zero_shot,sitting_009,sitting,,
v5_zero_shot,sitting_004,sitting,,
v5_zero_shot,running_001,running,,
v5_zero_shot,walking_008,walking,,
v5_zero_shot,walking_021,walking,,
v5_zero_shot,running_008,running,,
v5_zero_shot,running_004,running,,
